                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.057526,               0.021138,               0.045125,              0.0026222,                0.42727,                0.95009,                0.75012,                0.55325,                0.42727,                0.95009,                0.74791,                0.52238,               0.046162,               0.015673,               0.020501,               0.002239,               0.008965,               0.008965,               0.008965
                     25,               0.052408,               0.018968,               0.040415,              0.0025711,                0.38021,                0.74057,                 0.6894,                0.38016,                0.38021,                0.74057,                0.70752,                0.39956,               0.055091,               0.014963,               0.021514,              0.0023314,                0.00892,                0.00892,                0.00892
                     26,               0.057145,               0.018941,               0.039914,              0.0024743,                0.49216,                0.78663,                0.80075,                0.52713,                0.49216,                0.78663,                 0.8075,                0.54575,               0.044934,               0.014374,               0.019812,              0.0024931,               0.008875,               0.008875,               0.008875
                     27,               0.049758,               0.018562,               0.040249,              0.0024822,                0.43295,                 0.8239,                0.67201,                0.44347,                0.43295,                 0.8239,                0.67941,                0.46601,               0.064614,               0.014802,               0.021902,              0.0023148,                0.00883,                0.00883,                0.00883
                     28,               0.055846,               0.018218,               0.037881,              0.0024372,                0.43882,                0.74057,                0.59138,                0.39653,                0.43882,                0.74057,                0.64762,                0.45655,               0.046341,               0.014821,               0.021696,              0.0024925,               0.008785,               0.008785,               0.008785
                     29,               0.057066,               0.019876,               0.041852,              0.0024916,                0.53679,                 0.5739,                0.53717,                0.35228,                0.53679,                 0.5739,                 0.5593,                 0.3999,                 0.0521,               0.015001,               0.020488,               0.002502,                0.00874,                0.00874,                0.00874
                     30,               0.055149,               0.018088,               0.040039,              0.0025943,                0.48591,                0.60742,                0.64954,                0.40694,                0.48591,                0.60742,                 0.6511,                0.42475,               0.043316,               0.014741,               0.020056,              0.0026432,               0.008695,               0.008695,               0.008695
                     31,               0.051761,               0.018187,               0.038496,              0.0026947,                0.44739,                0.65723,                0.65728,                 0.4429,                0.44739,                0.65723,                0.65728,                0.49778,               0.038916,               0.014662,               0.019371,              0.0026926,                0.00865,                0.00865,                0.00865
                     32,               0.051391,               0.017963,               0.038155,              0.0026315,                0.42668,                 0.5739,                0.52748,                0.35261,                0.42668,                 0.5739,                0.52748,                0.38611,               0.039554,               0.014662,               0.018695,              0.0027965,               0.008605,               0.008605,               0.008605
                     33,               0.049292,               0.018047,               0.041792,               0.002482,                0.57945,                 0.5739,                0.54997,                 0.3596,                0.57945,                 0.5739,                0.55416,                0.39681,               0.048226,               0.015114,               0.019772,              0.0026555,                0.00856,                0.00856,                0.00856
                     34,               0.043651,               0.016722,               0.035507,              0.0024707,                 0.7651,                0.43396,                0.45074,                0.27917,                 0.7651,                0.43396,                 0.4537,                0.33324,               0.061468,                0.01458,               0.020595,              0.0026323,               0.008515,               0.008515,               0.008515
                     35,               0.053288,               0.017043,               0.037473,               0.002626,                0.31603,                0.90723,                0.70812,                0.53275,                0.31603,                0.90723,                0.70812,                 0.5424,               0.043452,               0.013992,               0.019623,              0.0027887,                0.00847,                0.00847,                0.00847
                     36,               0.044719,               0.019356,               0.034927,              0.0029412,                0.90503,                0.46226,                0.54571,                0.34363,                0.90503,                0.46226,                0.54571,                0.39486,               0.038332,               0.014193,               0.019139,              0.0028237,               0.008425,               0.008425,               0.008425
                     37,               0.046806,               0.017405,               0.038199,              0.0025828,                0.46174,                0.74057,                0.69561,                0.41751,                0.45769,                0.73113,                0.72238,                0.42984,               0.043104,               0.013519,               0.019314,              0.0025262,                0.00838,                0.00838,                0.00838
                     38,               0.048739,               0.018679,               0.037668,               0.002379,                0.61093,                0.82112,                0.80839,                0.47476,                0.61093,                0.82112,                0.80854,                0.50717,               0.043497,               0.014159,               0.018994,              0.0025113,               0.008335,               0.008335,               0.008335
                     39,               0.045382,               0.018904,               0.038206,              0.0024991,                0.54904,                0.85097,                0.76475,                0.53421,                0.54904,                0.85097,                0.76475,                0.53737,               0.039623,               0.013311,                0.01784,              0.0022636,                0.00829,                0.00829,                0.00829
                     40,               0.046798,                0.01804,               0.032613,              0.0022755,                0.50478,                0.74057,                0.78163,                0.37364,                0.50478,                0.74057,                0.77436,                0.37682,               0.044142,               0.014257,               0.018983,              0.0022031,               0.008245,               0.008245,               0.008245
                     41,               0.041614,               0.016925,                  0.036,              0.0021184,                 0.5653,                0.90723,                0.69596,                0.34968,                0.57414,                0.90723,                 0.7256,                 0.3582,               0.054019,               0.014003,               0.019964,              0.0022715,                 0.0082,                 0.0082,                 0.0082
                     42,               0.051366,               0.017604,               0.036626,              0.0020788,                0.44099,                 0.5739,                0.59738,                0.39376,                0.44099,                 0.5739,                0.59738,                0.42151,               0.034937,               0.013374,                0.01883,              0.0022287,               0.008155,               0.008155,               0.008155
                     43,               0.040983,               0.017056,               0.039807,              0.0019929,                0.37674,                 0.5739,                0.49847,                0.34363,                0.37674,                 0.5739,                0.51011,                0.32348,               0.045607,               0.014451,               0.019795,              0.0022481,                0.00811,                0.00811,                0.00811
                     44,               0.046407,               0.016528,               0.034921,              0.0020248,                0.81031,                0.41509,                0.46632,                0.28937,                0.86603,                0.37736,                0.48504,                0.33672,               0.042503,               0.013849,               0.018693,              0.0021945,               0.008065,               0.008065,               0.008065
                     45,               0.044399,               0.017285,               0.039543,              0.0019168,                0.53953,                0.65723,                0.63182,                0.28434,                0.53953,                0.65723,                0.63526,                0.33469,               0.043869,               0.014254,                0.01848,               0.002523,                0.00802,                0.00802,                0.00802
                     46,               0.041204,               0.018486,               0.035502,              0.0020179,                0.91566,                0.48113,                0.49497,                0.34629,                0.91566,                0.48113,                0.49497,                0.34847,               0.035913,                0.01406,               0.018916,              0.0025452,               0.007975,               0.007975,               0.007975
