stored_images\230404_154532_images\image_00000.png,"[0.2812257986384749, 0.023647132514506404, 0.0012113625011503958, 0.00013761822600004842, 5.030276719369167e-08, 1.1922552759818776e-05, 2.5036590489914397e-08, 2096.727004459244, 1.9660109311319995, 93.59027777777777, 85.10590277777777, 48.12934027777778, 64.20426940917969]"
stored_images\230404_154532_images\image_00001.png,"[0.28262458133670526, 0.027044601799554396, 0.0019301355218530026, 0.0003196499194416533, 2.510761290088196e-07, 3.0346251765510814e-05, 3.3059078439269007e-10, 2282.5846186839044, 1.8790036319442984, 82.22222222222223, 89.59375, 49.96961805555556, 65.49034118652344]"
stored_images\230404_154532_images\image_00002.png,"[0.288844647562364, 0.033790031004458064, 0.003588275744225479, 0.0010517801025987203, 2.0431201281359536e-06, 0.00013970580120912113, -2.6463943272005304e-08, 2398.6291695219115, 2.2173624546692303, 85.08564814814815, 74.49614197530865, 51.11882716049383, 72.92893981933594]"
stored_images\230404_154532_images\image_00003.png,"[0.3305352871086329, 0.054533719089602944, 0.00013425558861184878, 0.0007814475188755938, 2.531138124089061e-07, 0.00018088370309395056, 1.3972605590475547e-10, 2660.8360284441733, 2.2225708329061145, 81.24404761904762, 77.77008928571429, 56.276785714285715, 76.90186309814453]"
stored_images\230404_154532_images\image_00004.png,"[0.24229564714170665, 0.031231898772796425, 0.00035272851710843297, 7.549771663154774e-05, 1.2121500678686359e-08, 1.3062108630705628e-05, 2.204273962257793e-09, 2775.6800937822263, 2.1264918672743223, 75.58447802197803, 83.62774725274726, 57.25618131868132, 76.82747650146484]"
stored_images\230404_154532_images\image_00005.png,"[0.3096035936615556, 0.04095924367248568, 0.00035860336329126614, 7.141305249280886e-05, 1.094767018138464e-08, 1.3613785163358787e-05, -3.2786753782895284e-09, 1905.8828151924608, 2.0, 56.09400826446281, 131.30371900826447, 40.857438016528924, 61.739498138427734]"
stored_images\230404_154532_images\image_00006.png,"[0.24787873119921486, 0.03476450038063201, 0.0001104960883123319, 2.5386553402144423e-05, 1.302507911475583e-09, 4.487581512642305e-06, 3.3362464574881677e-10, 2489.7248535653343, 2.4062283200285757, 72.70907738095238, 76.18377976190476, 53.28199404761905, 77.40055847167969]"
stored_images\230404_154532_images\image_00007.png,"[0.25259755997370503, 0.02584349997858335, 0.0014708604222446952, 0.00010280368479529358, -3.6310020773842516e-08, -1.6445299629610185e-05, 1.672299837572351e-08, 2203.6204734463536, 2.0891579949458436, 43.891666666666666, 153.16333333333333, 44.848333333333336, 67.85065460205078]"
stored_images\230404_154532_images\image_00008.png,"[0.24404643669766846, 0.03194913118420316, 0.00028153725120870173, 5.984765351104461e-05, 7.751238816625074e-09, 1.059946036485298e-05, 5.179702357586681e-10, 2759.472045704606, 2.0866095461478267, 63.28914835164835, 82.26442307692308, 54.809752747252745, 75.88109588623047]"
stored_images\230404_154532_images\image_00009.png,"[0.5476397867600099, 0.24707392725986282, 0.0007269045411069258, 0.0004366367579604591, 2.437951176753166e-07, 0.00018945675833047378, -3.279464261318227e-08, 4744.208574830671, 4.202823716365345, 72.73277243589743, 107.56089743589743, 39.17307692307692, 141.20578002929688]"
