E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00000.png,"[0.15987703219757682, 7.591218397491056e-05, 2.9090562448837983e-06, 4.65906734352404e-09, -4.715564743864788e-16, -3.043935032817168e-11, 2.6802767792776245e-16, 0.8182692307692307, 0.9770378874856487, 1276.5, 1.0256410256410255, 63.248317127898275, 77.51608077786088, 123.67838444278235, 40.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00001.png,"[0.15973384532615276, 1.503795261960768e-05, 1.2454010251705244e-06, 3.4302716392310168e-09, -7.206290810818523e-17, -1.2669578754305946e-11, 2.123094485341643e-16, 0.8647098515519568, 0.9884303895102198, 1281.5, 1.0263157894736843, 63.62220566318927, 90.52235469448584, 125.35022354694486, 39.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00002.png,"[0.15993142784367367, 9.41390988804133e-05, 1.4428924264127872e-05, 1.0218309743021641e-08, 2.6201400742762497e-15, 9.08284807671459e-11, -2.920541543992733e-15, 0.8220394736842105, 0.9788484136310224, 1249.5, 1.0526315789473684, 60.006111535523296, 77.9877769289534, 129.52177234530174, 40.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00003.png,"[0.15958132602912434, 1.649124507538565e-05, 2.517478658700435e-06, 5.4543107765585785e-09, 1.638551108260078e-16, -1.5699385903407557e-11, 6.177744505313621e-16, 0.8365384615384616, 0.9856495468277946, 1305.0, 1.0256410256410255, 56.29157509157509, 103.50769230769231, 133.589010989011, 40.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00004.png,"[0.1596693817008742, 2.6987064111935207e-05, 1.0324727386168511e-05, 5.427692940905608e-09, 5.954358107495264e-16, -2.816383743153879e-11, 1.1385824616316018e-15, 0.8421052631578947, 0.9850039463299132, 1248.0, 1.0263157894736843, 62.4238714613619, 76.29686304514155, 128.2708492731446, 39.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00005.png,"[0.1595518202315762, 1.8819083233736273e-05, 5.76298792022568e-07, 3.2309688202629448e-09, 1.1836987222446813e-16, 1.0252193646497075e-12, 7.366358773836813e-17, 0.8355769230769231, 0.9845166163141994, 1303.5, 1.0256410256410255, 45.00659824046921, 105.67888563049853, 137.58870967741936, 40.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00006.png,"[0.1598115483325636, 4.726622330777097e-05, 7.12559627499193e-08, 1.498850751136928e-09, -2.8984901600777263e-18, -9.549172177820301e-12, 1.5216283690254973e-17, 0.8489258489258489, 0.9811774128954746, 1225.0, 1.054054054054054, 60.26459143968872, 82.66225680933853, 140.49571984435798, 39.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00007.png,"[0.15951020952060985, 5.401834400039127e-06, 6.871461903892955e-08, 6.402111514394239e-10, 1.6712861871679506e-20, 8.36493621297688e-13, -4.2462548851869874e-18, 0.8451676528599605, 0.9884659746251442, 1285.5, 1.0, 43.59405204460966, 111.58364312267658, 142.51672862453532, 39.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00008.png,"[0.16039115483356656, 0.00022751322996625236, 3.919772559151451e-06, 1.1768530076469211e-08, -1.9134431956982673e-15, -3.643146587804256e-12, 1.6515617933264744e-15, 0.8243243243243243, 0.975609756097561, 1220.0, 1.0810810810810811, 65.0734375, 63.6171875, 164.61406250000002, 40.0]"
E:\Studierendenprojekte\proj-camera-controller_\modules\..\stored_images\240508_140746_images\images\image_00009.png,"[0.159475383673162, 9.628229349432746e-06, 5.337268815687776e-07, 1.0483464926237314e-09, 2.479093039284295e-17, -1.6640029810181528e-12, -5.924579798381367e-19, 0.825, 0.9801980198019802, 1287.0, 1.0256410256410255, 43.16852264291017, 113.45434298440979, 139.47290274684482, 40.0]"
